BioProject,Title,Description,ReleaseDate,DataType,CenterName,Relevance,GEO,SubmissionID
PRJNA1495196,Easy-Multiome enables joint profiling of gene expression and chromatin accessibility in single cells,"Gene expression and chromatin accessibility provide complementary insights into the regulatory mechanisms that define cell states. Although methods for jointly profiling these modalities exist, plant applications remain limted because of complex workflows, inconsistent performance, and prohibitive costs. Here, we present easy-Multiome, a streamlined single-cell multiomic workflow that integrates a single in situ reverse transcription step into the standard droplet-based scATAC-seq protocol. Using easy-Multiome, we profiled more than 20,000 nuclei from maize seedlings generating paired gene expression and chromatin accessibility data, with approximately 90% of nuclei containing both high-quality RNA chromatin accessibility profiles. The resulting transcriptome data resolved 16 clusters corresponding to nine major maize seedling cell types and enabled direct characterization of cell-type-specific chromatin accessibility from the same nuclei. Furthermore, easy-Multiome simultaneously captured cell-type-specific transcription factor expression and the accessibility of their cognate DNA-binding motifs, providing direct links between transcriptional programs and regulatory landscapes. Together, these results demonstrate that easy-Multiome enables robust and efficient joint profiling of plant gene expression and chromatin accessibility while requiring only minimal modifications to existing droplet-based scATAC-seq workflows.",2026-07-14,Other,"Bob Schmitz, Genetics, University of Georgia",yes,GSE338572,SUB16345211
PRJNA1492334,Isolation and Characterization of a Novel Streptomyces murinus Strain with Dual Activities: Biocontrol of Maize Foliar Pathogens and Growth Promotion,"This study evaluated the biocontrol efficacy, growth-promoting potential, and molecular mechanisms of the actinomycete strain FJSM-07, identified via 16S rDNA sequencing as Streptomyces murinus. Overall design: In vitro assays demonstrated potent broad-spectrum antifungal activity against multiple plant pathogens, yielding the strongest inhibition zones against Bipolaris maydis and Exserohilum turcicum. In pot experiments, FJSM-07 application on two maize cultivars achieved high disease control efficacies exceeding 70% at 7 and 14 days post-treatment, outperforming carbendazim. Furthermore, FJSM-07 significantly enhanced plant agronomic traits, including height, fresh weight, and root length. RNA-Seq identified numerous differentially expressed genes primarily enriched in plant-pathogen interactions and plant hormone signal transduction; significant upregulation of PIN-likes 3 and Aux/IAA family members confirmed activation of the auxin pathway. Metabolomic profiling revealed substantial shifting of metabolites involved in secondary metabolism and amino-acid biosynthesis. Finally, LC-MS profiling of FJSM-07 identified ten major bioactive compounds, including the lipopeptides fengycin and surfactin. Distinctly, S. murinus FJSM-07 serves as an effective dual-action biocontrol agent and biofertilizer for sustainable maize production.",2026-07-09,Transcriptome or Gene expression,"Donghu Campus, Zhejiang A&F University",yes,GSE338066,SUB16329063
PRJNA1489438,Zea mays Raw sequence reads,"This project investigates the transcriptomic differences between maize inbred line B73 and its teosinte relative during mature pollen development. Total RNA was extracted from mature pollen samples of B73 and teosinte, followed by high-throughput RNA sequencing. The generated transcriptome data will be used to identify differentially expressed genes and explore the molecular mechanisms underlying pollen development and domestication-related traits in maize.",2026-07-03,raw sequence reads,"Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences",no,,SUB16306149
PRJNA1482317,Zea mays Raw sequence reads,"This project contains RNA-seq data from leaves of Zea mays cultivar Zhangdan 998 seedlings subjected to normal watering, drought stress, drought stress plus 50 umol L-1 melatonin, and drought stress plus 100 umol L-1 melatonin. The objective was to investigate the physiological and transcriptomic responses associated with melatonin-mediated alleviation of drought-induced oxidative damage in maize seedlings.",2026-06-26,raw sequence reads,Hebei North University,yes,,SUB16288004
PRJDB41811,scRNA Seq for maize seed germination (PRJCA045431),Single nucleus transcriptome analysis was performed to reveal the gene expression patterns during seed germination in maize,2026-05-03T23:57:43Z,Other,Guangdong Academy of Agricultural Sciences,no,,
PRJDB41172,A single molecule view of chromatin accessibility and chromatin structure in plants (PRJCA038802),Fiber-seq analysis of Arabidopsis thaliana and maize.,2026-04-29T04:51:59Z,Other,Nanjing Normal University,no,,
PRJDB41168,RNA-Seq of maize leaf in wild-type (LH244) and nla mutant under cold treatment (PRJCA041350),"For transcriptomic analysis, total RNA was extracted from 14-day-old wild-type (LH244) and zmnla mutant seedlings treated at 25�C or 4�C for 12 h. cDNA libraries were prepared and sequenced by Novogene (Beijing, China).",2026-04-29T04:45:25Z,Other,China Agricultural University,no,,
PRJNA1455669,A Novel Strain of Bacillus velezensis Exhibits Biocontrol Activity Against Maize Pathogens and Promotes Plant Growth,"Southern corn leaf blight (SCLB), caused by Bipolaris maydis, poses a serious threat to maize production worldwide. In our previous study, Bacillus velezensis BV3 was isolated and demonstrated strong antagonistic activity against maize leaf spot pathogens and effective disease control in greenhouse experiments. Overall design: In this study, inoculation with BV3 significantly promoted maize growth. Moreover, BV3 treatment induced extensive transcriptional and metabolic reprogramming in maize. Transcriptomic analysis identified numerous differentially expressed genes (DEGs) mainly enriched in plant–pathogen interaction, plant hormone signal transduction, MAPK signaling pathway, and phenylpropanoid biosynthesis pathways. Metabolomic analysis revealed substantial changes in metabolite accumulation, particularly in lipids, amino acids, sugars, organic acids, and polyphenols, with enriched pathways including secondary metabolite biosynthesis, phenylpropanoid biosynthesis, and flavonoid biosynthesis. LC/MS and GC/MS analyses further revealed that BV-3 produced diverse bioactive compounds. 2,4-DTBP and surfactin exhibited strong antifungal activities, particularly against B. maydis and E. turcicum. Overall, Bacillus sp. BV3 exhibits strong biocontrol efficacy against maize leaf spot pathogens and significant plant growth-promoting activity, highlighting its potential as an eco-friendly biocontrol agent for the management of southern corn leaf blight.",2026-04-20,Transcriptome or Gene expression,"Donghu Campus, Zhejiang A&F University",yes,GSE328576,SUB16136081
PRJNA1437526,Zea mays RNA-sequencing to explore key genes associated with mazie plant development,"Maize, the collar of the third leaf was visible at the vegetative stage",2026-03-15,raw sequence reads;transcriptome,Shenzhen University,no,,SUB16062143
PRJNA1428491,application of strigolactones for drought tolerance in Maize,"In this experiment, the maize seedlings were exposed to drought stress at the 6-leaf stage (V6) to investigate the mitigation upon exogenous application (foliar and drench) of GR24 (analog of strigolactone). Transcriptome analysis was utilized to identify differentially expressed genes (DEGs). Weighted gene co-expression network analysis (WGCNA) was used to make clusters of genes related to physiological activity in response to strigolactones application.",2026-02-25,raw sequence reads,Guangxi University,yes,,SUB16018218
