Run,BioProject,SRAStudy,Experiment,Sample,BioSample,SampleName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,Platform,Model,TaxID,ScientificName,ReleaseDate,spots,bases,size_MB,avgLength,download_path,Study_Pubmed_id,Consent,CenterName,Omics_Category,Year
ERR17711429,PRJEB123674,ERP203586,ERX17102230,ERS31054304,SAMEA123305476,SAMEA123305476,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:34,3508140,1052442000,725,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711429/ERR17711429,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711445,PRJEB123674,ERP203586,ERX17102246,ERS31054306,SAMEA123305478,SAMEA123305478,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:34,3677949,1103384700,768,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711445/ERR17711445,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711454,PRJEB123674,ERP203586,ERX17102255,ERS31054307,SAMEA123305479,SAMEA123305479,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 18:50:50,3363980,1009194000,687,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711454/ERR17711454,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711496,PRJEB123674,ERP203586,ERX17102297,ERS31054313,SAMEA123305485,SAMEA123305485,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:34,3974871,1192461300,823,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711496/ERR17711496,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711504,PRJEB123674,ERP203586,ERX17102305,ERS31054314,SAMEA123305486,SAMEA123305486,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 19:48:23,3825913,1147773900,786,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711504/ERR17711504,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711509,PRJEB123674,ERP203586,ERX17102310,ERS31054315,SAMEA123305487,SAMEA123305487,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:34,3346385,1003915500,686,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711509/ERR17711509,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711565,PRJEB123674,ERP203586,ERX17102366,ERS31054323,SAMEA123305495,SAMEA123305495,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 10:50:50,4622976,1386892800,948,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711565/ERR17711565,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711566,PRJEB123674,ERP203586,ERX17102367,ERS31054323,SAMEA123305495,SAMEA123305495,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:34,4777089,1433126700,977,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711566/ERR17711566,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711638,PRJEB123674,ERP203586,ERX17102439,ERS31054333,SAMEA123305505,SAMEA123305505,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:35,3529634,1058890200,731,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711638/ERR17711638,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711642,PRJEB123674,ERP203586,ERX17102443,ERS31054334,SAMEA123305506,SAMEA123305506,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 19:48:23,4167762,1250328600,856,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711642/ERR17711642,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711651,PRJEB123674,ERP203586,ERX17102452,ERS31054335,SAMEA123305507,SAMEA123305507,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:35,3789774,1136932200,792,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711651/ERR17711651,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711666,PRJEB123674,ERP203586,ERX17102467,ERS31054337,SAMEA123305509,SAMEA123305509,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:35,3877658,1163297400,805,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711666/ERR17711666,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711689,PRJEB123674,ERP203586,ERX17102490,ERS31054341,SAMEA123305513,SAMEA123305513,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 10:50:50,4186520,1255956000,870,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711689/ERR17711689,,public,KEYGENE N.V.,Bulk RNA-seq,2026
SRR40475654,PRJNA1522360,SRP732907,SRX35070122,SRS30579714,SAMN62854659,MU-stb1-WW,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,4577,Zea mays,2026-09-02 11:45:34,18890378,5356469850,3111,283,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1303/SRR040/40475/SRR40475654/SRR40475654.lite.1,,public,HZAU,Bulk RNA-seq,2026
ERR17711795,PRJEB123674,ERP203586,ERX17102596,ERS31054356,SAMEA123305528,SAMEA123305528,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:35,4012340,1203702000,833,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711795/ERR17711795,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711714,PRJEB123674,ERP203586,ERX17102515,ERS31054344,SAMEA123305516,SAMEA123305516,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:35,4674918,1402475400,972,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711714/ERR17711714,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711713,PRJEB123674,ERP203586,ERX17102514,ERS31054344,SAMEA123305516,SAMEA123305516,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:35,4734953,1420485900,978,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711713/ERR17711713,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711770,PRJEB123674,ERP203586,ERX17102571,ERS31054352,SAMEA123305524,SAMEA123305524,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:35,3786639,1135991700,791,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711770/ERR17711770,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711670,PRJEB123674,ERP203586,ERX17102471,ERS31054338,SAMEA123305510,SAMEA123305510,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:35,4282649,1284794700,894,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711670/ERR17711670,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711782,PRJEB123674,ERP203586,ERX17102583,ERS31054354,SAMEA123305526,SAMEA123305526,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:35,4121657,1236497100,874,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711782/ERR17711782,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711698,PRJEB123674,ERP203586,ERX17102499,ERS31054342,SAMEA123305514,SAMEA123305514,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 20:02:35,3662701,1098810300,760,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711698/ERR17711698,,public,KEYGENE N.V.,Bulk RNA-seq,2026
ERR17711862,PRJEB123674,ERP203586,ERX17102663,ERS31054365,SAMEA123305537,SAMEA123305537,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,HiSeq X Ten,4577,Zea mays,2026-09-02 19:48:23,3511829,1053548700,737,300,https://sra-pub-run-odp.s3.amazonaws.com/sra/ERR17711862/ERR17711862,,public,KEYGENE N.V.,Bulk RNA-seq,2026
