depth,n_genotypes,frac_genotypes_pct,n_sites,frac_sites_pct
1,0,0.000000,5,0.000015
2,0,0.000000,77,0.000227
3,0,0.000000,96,0.000283
4,0,0.000000,111,0.000327
5,0,0.000000,120,0.000354
6,0,0.000000,121,0.000357
7,0,0.000000,132,0.000389
8,0,0.000000,110,0.000324
9,0,0.000000,124,0.000365
10,0,0.000000,148,0.000436
11,0,0.000000,148,0.000436
12,0,0.000000,158,0.000466
13,0,0.000000,135,0.000398
14,0,0.000000,153,0.000451
15,0,0.000000,149,0.000439
16,0,0.000000,170,0.000501
17,0,0.000000,149,0.000439
18,0,0.000000,178,0.000525
19,0,0.000000,181,0.000533
20,0,0.000000,192,0.000566
21,0,0.000000,189,0.000557
22,0,0.000000,178,0.000525
23,0,0.000000,154,0.000454
24,0,0.000000,161,0.000475
25,0,0.000000,201,0.000592
26,0,0.000000,199,0.000587
27,0,0.000000,186,0.000548
28,0,0.000000,152,0.000448
29,0,0.000000,211,0.000622
30,0,0.000000,195,0.000575
31,0,0.000000,205,0.000604
32,0,0.000000,209,0.000616
33,0,0.000000,177,0.000522
34,0,0.000000,195,0.000575
35,0,0.000000,181,0.000533
36,0,0.000000,185,0.000545
37,0,0.000000,163,0.000480
38,0,0.000000,179,0.000528
39,0,0.000000,174,0.000513
40,0,0.000000,187,0.000551
41,0,0.000000,183,0.000539
42,0,0.000000,179,0.000528
43,0,0.000000,170,0.000501
44,0,0.000000,202,0.000595
45,0,0.000000,209,0.000616
46,0,0.000000,195,0.000575
47,0,0.000000,186,0.000548
48,0,0.000000,189,0.000557
49,0,0.000000,209,0.000616
50,0,0.000000,186,0.000548
51,0,0.000000,194,0.000572
52,0,0.000000,191,0.000563
53,0,0.000000,206,0.000607
54,0,0.000000,185,0.000545
55,0,0.000000,200,0.000589
56,0,0.000000,217,0.000640
57,0,0.000000,202,0.000595
58,0,0.000000,193,0.000569
59,0,0.000000,197,0.000581
60,0,0.000000,204,0.000601
61,0,0.000000,204,0.000601
62,0,0.000000,185,0.000545
63,0,0.000000,228,0.000672
64,0,0.000000,239,0.000704
65,0,0.000000,209,0.000616
66,0,0.000000,225,0.000663
67,0,0.000000,211,0.000622
68,0,0.000000,209,0.000616
69,0,0.000000,228,0.000672
70,0,0.000000,211,0.000622
71,0,0.000000,246,0.000725
72,0,0.000000,221,0.000651
73,0,0.000000,239,0.000704
74,0,0.000000,204,0.000601
75,0,0.000000,221,0.000651
76,0,0.000000,229,0.000675
77,0,0.000000,209,0.000616
78,0,0.000000,178,0.000525
79,0,0.000000,217,0.000640
80,0,0.000000,230,0.000678
81,0,0.000000,231,0.000681
82,0,0.000000,218,0.000643
83,0,0.000000,233,0.000687
84,0,0.000000,226,0.000666
85,0,0.000000,217,0.000640
86,0,0.000000,251,0.000740
87,0,0.000000,231,0.000681
88,0,0.000000,228,0.000672
89,0,0.000000,235,0.000693
90,0,0.000000,254,0.000749
91,0,0.000000,248,0.000731
92,0,0.000000,245,0.000722
93,0,0.000000,261,0.000769
94,0,0.000000,235,0.000693
95,0,0.000000,237,0.000699
96,0,0.000000,229,0.000675
97,0,0.000000,236,0.000696
98,0,0.000000,234,0.000690
99,0,0.000000,267,0.000787
100,0,0.000000,274,0.000808
101,0,0.000000,215,0.000634
102,0,0.000000,250,0.000737
103,0,0.000000,227,0.000669
104,0,0.000000,237,0.000699
105,0,0.000000,232,0.000684
106,0,0.000000,248,0.000731
107,0,0.000000,228,0.000672
108,0,0.000000,229,0.000675
109,0,0.000000,251,0.000740
110,0,0.000000,220,0.000648
111,0,0.000000,221,0.000651
112,0,0.000000,238,0.000701
113,0,0.000000,229,0.000675
114,0,0.000000,258,0.000760
115,0,0.000000,235,0.000693
116,0,0.000000,235,0.000693
117,0,0.000000,250,0.000737
118,0,0.000000,238,0.000701
119,0,0.000000,291,0.000858
120,0,0.000000,233,0.000687
121,0,0.000000,232,0.000684
122,0,0.000000,280,0.000825
123,0,0.000000,264,0.000778
124,0,0.000000,232,0.000684
125,0,0.000000,253,0.000746
126,0,0.000000,212,0.000625
127,0,0.000000,262,0.000772
128,0,0.000000,246,0.000725
129,0,0.000000,263,0.000775
130,0,0.000000,225,0.000663
131,0,0.000000,236,0.000696
132,0,0.000000,256,0.000755
133,0,0.000000,243,0.000716
134,0,0.000000,246,0.000725
135,0,0.000000,247,0.000728
136,0,0.000000,225,0.000663
137,0,0.000000,223,0.000657
138,0,0.000000,266,0.000784
139,0,0.000000,269,0.000793
140,0,0.000000,242,0.000713
141,0,0.000000,247,0.000728
142,0,0.000000,229,0.000675
143,0,0.000000,234,0.000690
144,0,0.000000,253,0.000746
145,0,0.000000,251,0.000740
146,0,0.000000,217,0.000640
147,0,0.000000,237,0.000699
148,0,0.000000,285,0.000840
149,0,0.000000,254,0.000749
150,0,0.000000,266,0.000784
151,0,0.000000,282,0.000831
