indel_length,n_sites,n_genotypes,mean_vaf
-60,40804,0,.
-59,1263,0,.
-58,1566,0,.
-57,1330,0,.
-56,1726,0,.
-55,1478,0,.
-54,2013,0,.
-53,1669,0,.
-52,2128,0,.
-51,2058,0,.
-50,2326,0,.
-49,1998,0,.
-48,2897,0,.
-47,2289,0,.
-46,2996,0,.
-45,2886,0,.
-44,3521,0,.
-43,3221,0,.
-42,4181,0,.
-41,3557,0,.
-40,4091,0,.
-39,4089,0,.
-38,4580,0,.
-37,4266,0,.
-36,5864,0,.
-35,4883,0,.
-34,5975,0,.
-33,6080,0,.
-32,7003,0,.
-31,6838,0,.
-30,9029,0,.
-29,7699,0,.
-28,9242,0,.
-27,9358,0,.
-26,10249,0,.
-25,9781,0,.
-24,13070,0,.
-23,12568,0,.
-22,15065,0,.
-21,15794,0,.
-20,16941,0,.
-19,16063,0,.
-18,21778,0,.
-17,19201,0,.
-16,23607,0,.
-15,26590,0,.
-14,28511,0,.
-13,29149,0,.
-12,44564,0,.
-11,39520,0,.
-10,48283,0,.
-9,56273,0,.
-8,63352,0,.
-7,62477,0,.
-6,94489,0,.
-5,100503,0,.
-4,178100,0,.
-3,283120,0,.
-2,526380,0,.
-1,1136006,0,.
1,1092879,0,.
2,563770,0,.
3,296744,0,.
4,220370,0,.
5,115707,0,.
6,117327,0,.
7,72547,0,.
8,76147,0,.
9,52928,0,.
10,46518,0,.
11,36150,0,.
12,41519,0,.
13,27262,0,.
14,27972,0,.
15,25556,0,.
16,24564,0,.
17,20146,0,.
18,22869,0,.
19,17609,0,.
20,18571,0,.
21,17555,0,.
22,16688,0,.
23,14203,0,.
24,15540,0,.
25,12346,0,.
26,12910,0,.
27,12312,0,.
28,11818,0,.
29,10818,0,.
30,11999,0,.
31,10289,0,.
32,10179,0,.
33,9420,0,.
34,9403,0,.
35,8637,0,.
36,9179,0,.
37,8300,0,.
38,8186,0,.
39,8059,0,.
40,8305,0,.
41,7709,0,.
42,8136,0,.
43,7680,0,.
44,7748,0,.
45,7577,0,.
46,7448,0,.
47,7218,0,.
48,7457,0,.
49,7220,0,.
50,7110,0,.
51,7380,0,.
52,7887,0,.
53,7229,0,.
54,7305,0,.
55,7110,0,.
56,7541,0,.
57,6997,0,.
58,7024,0,.
59,7072,0,.
60,143470,0,.
