来源*,Species,Ploidy,Filename,annotation_file,Accession name,Order,Family,Clade,APG IV,Chromosome-level,Publish year,Publication,PMID/DOI,Estimated genome size (Mb),Assembled genomesize(Mb),Predicted gene number,Scaffold N50 size (Kb),Contig N50 size(Kb),Sequencing platform,Sequencing platform classification,Country/institution,HiC for scaffoldng,Software of contig assembly,Software of polishing,Software of scaffloding,Software of  HiC scaffoldng,T2T/Pan-genome,Genome links,Annotation links,NA
统计条目,Achnatherum splendens,NA,GWHBHQB00000000.genome.fasta.gz,GWHBHQB00000000.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,yes,2021/9/6,Plant Biotechnology Journal,10.1111/pbi.13699,1130,1170,57374,10800,NA,PacBio;Illumina,Other TGS,China,yes,Falcon,Quiver;Pilon,SSPACE;LACHESIS,LACHESIS,no,https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA006214,NA,
统计条目,Aegilops bicornis,diploid,GCA_021605145.1_ASM2160514v1_genomic.fna.gz,GWHBFXS00000000.1.gff.gz,TB01,Poales,Poaceae,Commelinids,Monocots,yes,2022/1/1,Molecular Plant,10.1016/j.molp.2021.12.019,5730,5640,61354,NA,9160,ONT;Illumina,Other TGS,China,yes,wtdbg,Racon;Pilon,LACHESIS,LACHESIS,no,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA700474,NA,
统计条目,Aegilops comosa,diploid,AeComosa_PI551049_v1.genome.fa,AeComosa_PI551049_v1.gff3,PI 551049,Poales,Poaceae,Commelinids,Monocots,yes,2024/12/31,Scientific Data,10.1038/s41597-024-04346-1,4510,4470,39057,619050,23590,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,NA,3D-DNA,no,https://figshare.com/articles/dataset/_b_Chromosome-scale_assembly_b_b_and_annotation_of_the_wild_wheat_relative_b_b_b_b_Aegilops_comosa_b_/26928031,https://figshare.com/articles/dataset/_b_ChromosomeNAscale_assembly_b_b_and_annotation_of_the_wild_wheat_relative_b_b_b_b_Aegilops_comosa_b_/26928031,
统计条目,Aegilops geniculata,tetraploid,GCA_053567775.1_Aegilops_geniculata_ksu_v1.3_genomic.fna.gz,GCA_053567775.1_Aegilops_geniculata_ksu_v1.3_genomic.gff.gz,TA2889,Poales,Poaceae,Commelinids,Monocots,yes,2025/11/10,Plant Biotechnology Journal,10.1111/pbi.70456,NA,8114,72091,NA,14825,Illumina;PacBio,HiFi,China,yes,Hifiasm,NA,NA,NA,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_053567775.1/,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_053567775.1/,
统计条目,Aegilops longissima,diploid,GCA_021605205.1_ASM2160520v1_genomic.fna.gz,GWHBFXT00000000.1.gff.gz,TL05,Poales,Poaceae,Commelinids,Monocots,yes,2022/1/1,Molecular Plant,10.1016/j.molp.2021.12.019,6220,5800,63326,NA,1050,ONT;Illumina,Other TGS,China,yes,wtdbg,Racon;Pilon,LACHESIS,LACHESIS,no,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA700474,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_053567775.1/,
补充条目,Aegilops markgrafii,NA,GCA_052815875.1_ASM5281587v1_genomic.fna.gz,Aegilops_markgrafii\Aegilops_markgrafii_GCA_052815875.1_ASM5281587v1_genomic.gtf,ASM5281587v1,Poales,Poaceae,Commelinids,Monocots,yes,2025/9/24,NA,GCA_052815875.1,NA,3577.17036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/052/815/Aegilops_markgrafii_monocots_ASM5281587v1_GCA_052815875.1/GCA_052815875.1_ASM5281587v1_genomic.fna.gz,NA,
统计条目,Aegilops mutica,diploid,GCA_964657205.1_Ae.mutica_hap1_with_organelles_genomic.fna.gz,PRODUCTION_43_result.gtf,hap1_GCA_964657205.1,Poales,Poaceae,Commelinids,Monocots,yes,2025/3/13,Scientific Data,10.1038/s41597-025-04737-y,NA,4654.34,96723(total),639720.019,4351.393,PacBio,HiFi,UK,yes,Hifiasm,NA,YaHS,YaHS,no,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/657/205/GCA_964657205.1_Ae.mutica_hap1_with_organelles/GCA_964657205.1_Ae.mutica_hap1_with_organelles_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/657/205/GCA_964657205.1_Ae.mutica_hap1_with_organelles/GCA_964657205.1_Ae.mutica_hap1_with_organelles_genomic.gbff.gz,
统计条目,Aegilops muticum,hexaploid,muticum_draft_assembly.fasta,PRODUCTION_44_result.gtf,2130012 (JIC),Poales,Poaceae,Commelinids,Monocots,yes,2023/1/24,Plant Biotechnology Journal,10.1111/pbi.13859,6174,2530,32385,NA,75.5,ONT;Illumina,Other TGS,UK,no,Flye,Pilon,NA,NA,no,https://opendata.earlham.ac.uk/wheat/under_license/toronto/Hall_2021-10-08_wheatxmuticum,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/644/865/GCA_964644865.1_Ae.mutica_hap2_with_organelles/GCA_964644865.1_Ae.mutica_hap2_with_organelles_genomic.gbff.gz,
统计条目,Aegilops searsii,diploid,GCA_021605185.1_ASM2160518v1_genomic.fna.gz,GWHBFXU00000000.1.gff.gz,searsii,Poales,Poaceae,Commelinids,Monocots,yes,2022/1/1,Molecular Plant,10.1016/j.molp.2021.12.019,5550,5340,62804,NA,560,ONT;Illumina,Other TGS,China,yes,wtdbg,Racon;Pilon,LACHESIS,LACHESIS,no,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA700474,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/644/865/GCA_964644865.1_Ae.mutica_hap2_with_organelles/GCA_964644865.1_Ae.mutica_hap2_with_organelles_genomic.gbff.gz,
统计条目,Aegilops sharonensis,diploid,GCA_021641835.1_ASM2164183v1_genomic.fna.gz,GWHBFXV00000000.1.gff.gz,TH02,Poales,Poaceae,Commelinids,Monocots,yes,2022/1/1,Molecular Plant,10.1016/j.molp.2021.12.019,6070,5890,61849,NA,1010,ONT;Illumina,Other TGS,China,yes,wtdbg,Racon;Pilon,LACHESIS,LACHESIS,no,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA700474,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/644/865/GCA_964644865.1_Ae.mutica_hap2_with_organelles/GCA_964644865.1_Ae.mutica_hap2_with_organelles_genomic.gbff.gz,
