group,No.Genome,No.species,来源*,Species,Ploidy,Filename,annotation_file,Accession name,Order,Family,Clade,APG IV,Chromosome-level,Publish year,Publication,PMID/DOI,Estimated genome size (Mb),Assembled genomesize(Mb),Predicted gene number,Scaffold N50 size (Kb),Contig N50 size(Kb),Sequencing platform,Sequencing platform classification,Country/institution,HiC for scaffoldng,Software of contig assembly,Software of polishing,Software of scaffloding,Software of  HiC scaffoldng,T2T/Pan-genome,Genome links,Annotation links,genome_path,annotation_path
UTR-HUADA问题,1,1,统计条目,Achnatherum splendens,NA,GWHBHQB00000000.genome.fasta.gz,PRODUCTION_81_result.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2021/9/6,Plant Biotechnology Journal,10.1111/pbi.13699,1130,1170,57374,10800,NA,PacBio;Illumina,Other TGS,China,yes,Falcon,Quiver;Pilon,SSPACE;LACHESIS,LACHESIS,no,NA,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GWHBHQB00000000.genome.fasta.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/PRODUCTION_81_result.gtf
Huada_FTP_update,3,2,??????,Aegilops bicornis,diploid,GCA_021605145.1_ASM2160514v1_genomic.fna.gz,Aegilops_bicornis_GCA_021605145.1_ASM2160514v1_genomic.gtf,TB01,Poales,Poaceae,Commelinids,Monocots,yes,2022/1/1,Molecular Plant,10.1016/j.molp.2021.12.019,5730,5640,61354,NA,9160,ONT;Illumina,Other TGS,China,yes,wtdbg,Racon;Pilon,LACHESIS,LACHESIS,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_bicornis/GCA_021605145.1_ASM2160514v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_bicornis/Aegilops_bicornis_GCA_021605145.1_ASM2160514v1_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_bicornis/GCA_021605145.1_ASM2160514v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_bicornis/Aegilops_bicornis_GCA_021605145.1_ASM2160514v1_genomic.gtf
原始数据可用,4,3,??????,Aegilops comosa,diploid,AeComosa_PI551049_v1.genome.fa,AeComosa_PI551049_v1.gff3,PI 551049,Poales,Poaceae,Commelinids,Monocots,yes,2024/12/31,Scientific Data,10.1038/s41597-024-04346-1,4510,4470,39057,619050,23590,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,NA,3D-DNA,no,https://figshare.com/articles/dataset/_b_Chromosome-scale_assembly_b_b_and_annotation_of_the_wild_wheat_relative_b_b_b_b_Aegilops_comosa_b_/26928031,https://figshare.com/articles/dataset/_b_ChromosomeNAscale_assembly_b_b_and_annotation_of_the_wild_wheat_relative_b_b_b_b_Aegilops_comosa_b_/26928031,/mnt/rice/data/Poaceae_Fan_longjiang/genome/AeComosa_PI551049_v1.genome.fa,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/AeComosa_PI551049_v1.gff3
Huada_FTP_update,5,4,??????,Aegilops geniculata,tetraploid,GCA_053567775.1_Aegilops_geniculata_ksu_v1.3_genomic.fna.gz,Aegilops_geniculata_GCA_053567775.1_Aegilops_geniculata_ksu_v1.3_genomic.gtf,TA2889,Poales,Poaceae,Commelinids,Monocots,yes,2025/11/10,Plant Biotechnology Journal,10.1111/pbi.70456,NA,8114,72091,NA,14825,Illumina;PacBio,HiFi,China,yes,Hifiasm,NA,NA,NA,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_geniculata/GCA_053567775.1_Aegilops_geniculata_ksu_v1.3_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_geniculata/Aegilops_geniculata_GCA_053567775.1_Aegilops_geniculata_ksu_v1.3_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_geniculata/GCA_053567775.1_Aegilops_geniculata_ksu_v1.3_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_geniculata/Aegilops_geniculata_GCA_053567775.1_Aegilops_geniculata_ksu_v1.3_genomic.gtf
Huada_FTP_update,6,5,??????,Aegilops longissima,diploid,GCA_964264335.1_aegilops_longissima_AEG-6782-2_v2_genomic.fna.gz,Aegilops_longissima_GCA_964264335.1_aegilops_longissima_AEG-6782-2_v2_genomic.gtf,TL05,Poales,Poaceae,Commelinids,Monocots,yes,2022/1/1,Molecular Plant,10.1016/j.molp.2021.12.019,6220,5800,63326,NA,1050,ONT;Illumina,Other TGS,China,yes,wtdbg,Racon;Pilon,LACHESIS,LACHESIS,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_longissima/GCA_964264335.1_aegilops_longissima_AEG-6782-2_v2_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_longissima/Aegilops_longissima_GCA_964264335.1_aegilops_longissima_AEG-6782-2_v2_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_longissima/GCA_964264335.1_aegilops_longissima_AEG-6782-2_v2_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_longissima/Aegilops_longissima_GCA_964264335.1_aegilops_longissima_AEG-6782-2_v2_genomic.gtf
原始数据可用,7,6,???????,Aegilops markgrafii,NA,GCA_052815875.1_ASM5281587v1_genomic.fna.gz,Aegilops_markgrafii_GCA_052815875.1_ASM5281587v1_genomic.gtf,ASM5281587v1,Poales,Poaceae,Commelinids,Monocots,yes,2025/9/24,NA,GCA_052815875.1,NA,3577.17036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/052/815/Aegilops_markgrafii_monocots_ASM5281587v1_GCA_052815875.1/GCA_052815875.1_ASM5281587v1_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_052815875.1_ASM5281587v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Aegilops_markgrafii/Aegilops_markgrafii_GCA_052815875.1_ASM5281587v1_genomic.gtf
非UTR-缺注释,8,7,统计条目,Aegilops mutica,diploid,GCA_964657205.1_Ae.mutica_hap1_with_organelles_genomic.fna.gz,PRODUCTION_43_result.gtf,hap1_GCA_964657205.1,Poales,Poaceae,Commelinids,Monocots,yes,2025/3/13,Scientific Data,10.1038/s41597-025-04737-y,NA,4654.34,96723(total),639720.019,4351.393,PacBio,HiFi,UK,yes,Hifiasm,NA,YaHS,YaHS,no,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_964657205.1_Ae.mutica_hap1_with_organelles_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_964657205.1_Ae.mutica_hap1_with_organelles_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/PRODUCTION_43_result.gtf
非UTR-缺注释,10,8,统计条目,Aegilops muticum,hexaploid,muticum_draft_assembly.fasta,PRODUCTION_44_result.gtf,2130012 (JIC),Poales,Poaceae,Commelinids,Monocots,yes,2023/1/24,Plant Biotechnology Journal,10.1111/pbi.13859,6174,2530,32385,NA,75.5,ONT;Illumina,Other TGS,UK,no,Flye,Pilon,NA,NA,no,/mnt/rice/data/Poaceae_Fan_longjiang/genome/muticum_draft_assembly.fasta,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/muticum_draft_assembly.fasta,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/PRODUCTION_44_result.gtf
Huada_FTP_update,11,9,??????,Aegilops searsii,diploid,GCA_021605185.1_ASM2160518v1_genomic.fna.gz,Aegilops_searsii_GCA_021605185.1_ASM2160518v1_genomic.gtf,searsii,Poales,Poaceae,Commelinids,Monocots,yes,2022/1/1,Molecular Plant,10.1016/j.molp.2021.12.019,5550,5340,62804,NA,560,ONT;Illumina,Other TGS,China,yes,wtdbg,Racon;Pilon,LACHESIS,LACHESIS,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_searsii/GCA_021605185.1_ASM2160518v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_searsii/Aegilops_searsii_GCA_021605185.1_ASM2160518v1_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_searsii/GCA_021605185.1_ASM2160518v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_searsii/Aegilops_searsii_GCA_021605185.1_ASM2160518v1_genomic.gtf
Huada_FTP_update,12,10,??????,Aegilops sharonensis,diploid,GCA_904067115.1_aegilops_sharonensis_1644_assembly_genomic.fna.gz,Aegilops_sharonensis_GCA_904067115.1_aegilops_sharonensis_1644_assembly_genomic.gtf,TH02,Poales,Poaceae,Commelinids,Monocots,yes,2022/1/1,Molecular Plant,10.1016/j.molp.2021.12.019,6070,5890,61849,NA,1010,ONT;Illumina,Other TGS,China,yes,wtdbg,Racon;Pilon,LACHESIS,LACHESIS,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_sharonensis/GCA_904067115.1_aegilops_sharonensis_1644_assembly_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_sharonensis/Aegilops_sharonensis_GCA_904067115.1_aegilops_sharonensis_1644_assembly_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_sharonensis/GCA_904067115.1_aegilops_sharonensis_1644_assembly_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Aegilops_sharonensis/Aegilops_sharonensis_GCA_904067115.1_aegilops_sharonensis_1644_assembly_genomic.gtf
