No.Genome,No.species,Species,Filename,annotation_file,annotation_file_0813,annot_source,genome_first_chr,has_UTR,chr_match,genome_error,annot_error
1,1,Achnatherum splendens,GWHBHQB00000000.genome.fasta.gz,GWHBHQB00000000.gff.gz,,annotation_file,GWHBHQB00000001,False,True,,
3,2,Aegilops bicornis,GCA_021605145.1_ASM2160514v1_genomic.fna.gz,GWHBFXS00000000.1.gff.gz,,annotation_file,CM038669.1,True,False,,
5,4,Aegilops geniculata,GCA_053567775.1_Aegilops_geniculata_ksu_v1.3_genomic.fna.gz,GCA_053567775.1_Aegilops_geniculata_ksu_v1.3_genomic.gff.gz,,annotation_file,CM131255.1,False,True,,
6,5,Aegilops longissima,GCA_021605205.1_ASM2160520v1_genomic.fna.gz,GWHBFXT00000000.1.gff.gz,,annotation_file,CM038676.1,True,False,,
11,9,Aegilops searsii,GCA_021605185.1_ASM2160518v1_genomic.fna.gz,GWHBFXU00000000.1.gff.gz,,annotation_file,CM038690.1,True,False,,
12,10,Aegilops sharonensis,GCA_021641835.1_ASM2164183v1_genomic.fna.gz,GWHBFXV00000000.1.gff.gz,,annotation_file,CM038683.1,True,False,,
16,11,Aegilops speltoides,Y2032.updata.genome.fa,Y2032.updata.gff3,,annotation_file,CH7S,False,True,,
19,12,Aegilops tauschii,GCA_002575655.3_Aet_v6.0_genomic.fna.gz,GCA_002575655.3_Aet_v6.0_genomic.gff.gz,,annotation_file,CM008368.3,False,False,,
27,14,Aegilops umbellulata,AeUmbellulata_TA1851_v1.fasta.gz,AeUmbellulata_TA1851_v1.gff3.gz,,annotation_file,chr1U_TA1851,False,True,,
33,20,Agrostis stolonifera,GCA_052724435.1_A.stonolifera_Declaration_hap1v1.0_genomic.fna.gz,creep_bentv1.0_hap1.gff,,annotation_file,CM127558.1,False,False,,
42,27,Ampelocalamus luodianensis,GCA_036346255.1_KIB_Aluo_1_genomic.fna.gz,Ampelocalamus_luodianensis_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid66507.gff,,annotation_file,CM070617.1,False,False,,
43,28,Aristida adscensionis,GCA_050947905.1_ASM5094790v1_genomic.fna.gz,GCA_050947905.1_ASM5094790v1_genomic.gff.gz,,annotation_file,JBNHNG010000001.1,False,True,,
44,29,Arundinella anomala,GCA_055504895.1_ASM5550489v1_genomic.fna.gz,Arundinella_anomala_all_chr_evm.out.HC.TE-filter.gff3,,annotation_file,CM145224.1,False,False,,
48,33,Avena atlantica,Avena_atlantica.fa,Avena_atlantica_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid53337.gff,,annotation_file,lcl|ScoFOjO_324_449,False,False,,
50,34,Avena barbata,GWHEUEC00000000.1.genome.fasta.gz,,Avena_barbata\Avena_barbata_GCA_947310925.1_Abarbata_PI388828_v1.0_genomic.gtf,annotation_file_0813,GWHEUEC00000001.1,True,False,,
56,40,Avena eriantha,Avena_eriantha.fa,Avena_eriantha_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid53381.gff,,annotation_file,lcl|SctCcfP_430_889,False,False,,
58,41,Avena fatua,GWHFGFM00000000.1.genome.fasta.gz,,Avena_fatua\Avena_fatua_GCA_947310975.1_Afatua_CN25955_v1.0_genomic.gtf,annotation_file_0813,GWHFGFM00000001.1,True,False,,
61,44,Avena insularis,GCA_023614405.1_ASM2361440v1_genomic.fna.gz,,Avena_insularis\Avena_insularis_GCA_910574615.1_Avena_insularis_BYU209_v1_assembly_genomic.gtf,annotation_file_0813,CM042684.1,True,False,,
62,45,Avena longiglumis,Avena_longiglumis.genome.v.1.0.fasta,ALO.rename.gff,,annotation_file,LG01,False,True,,
70,51,Avena sativa,GWHGDJH00000000.1.genome.fasta.gz,,Avena_sativa\Avena_sativa_GCA_951802355.1_Asativa_cv_Legett_v1.0_genomic.gtf,annotation_file_0813,GWHGDJH00000001.1,True,False,,
83,52,Avena sterilis,GWHERDU00000000.genome.fasta.gz,,Avena_sterilis\Avena_sterilis_GCA_947313225.1_Asterilis_TN1_v1.0_genomic.gtf,annotation_file_0813,GWHERDU00000001,True,False,,
88,56,Bambusa tulda,GCF_964195595.1_bCalBor7.hap1.2_genomic.fna.gz,GCF_964195595.1_bCalBor7.hap1.2_genomic.gff.gz,,annotation_file,NC_134312.1,False,True,,
89,57,Beckmannia syzigachne,GWHERLE00000000.genome.fasta.gz,,Beckmannia_syzigachne\Beckmannia_syzigachne_GCA_040954875.1_ASM4095487v1_genomic.gtf,annotation_file_0813,GWHERLE00000001,True,False,,
92,58,Bonia amplexicaulis,Bonia_amplexicaulis.fa,Bonia_amplexicaulis_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid67920.gff,,annotation_file,lcl|Bam01A,False,False,,
154,60,Brachypodium distachyon,GWHDUCY00000000.genome.fasta.gz,,Brachypodium_distachyon\Brachypodium_distachyon_GCA_000005505.4_Brachypodium_distachyon_v3.0_genomic.gtf,annotation_file_0813,GWHDUCY00000001,True,False,,
156,61,Brachypodium hybridum,GWHDUCW00000000.genome.fasta.gz,,Brachypodium_hybridum\Brachypodium_hybridum_GCA_036872515.1_ASM3687251v1_genomic.gtf,annotation_file_0813,GWHDUCW00000001,True,False,,
160,63,Brachypodium sylvaticum,Bsylvaticum_490_v1.0.fa.gz,,Brachypodium_sylvaticum\Brachypodium_sylvaticum_GCA_040967415.1_ASM4096741v1_genomic.gtf,annotation_file_0813,chr1,True,False,,
166,67,Cenchrus americanus,pearl_millet_aseembly.fa.gz,,Cenchrus_americanus\Cenchrus_americanus_GCA_963924085.1_AwK_v01_genomic.gtf,annotation_file_0813,scaffold81,True,False,,
169,70,Cenchrus purpureus,GWHAORA00000000.genome.fasta.gz,GWHAORA00000000.gff.gz,,annotation_file,GWHAORA00000001,False,True,,
170,71,Chasmanthium latifolium,GWHFGPT00000000.1.genome.fasta.gz,GWHFGPT00000000.1.gff.gz,,annotation_file,GWHFGPT00000001.1,False,True,,
173,74,Cleistogenes songorica,GWHANUQ00000000.genome.fasta.gz,GWHANUQ00000000.gff.gz,,annotation_file,GWHANUQ00000001,False,True,,
178,78,Cymbopogon flexuosus,GCA_027790015.1_ASM2779001v1_genomic.fna.gz,,Cymbopogon_flexuosus\Cymbopogon_flexuosus_GCA_027790015.1_ASM2779001v1_genomic.gtf,annotation_file_0813,JAKNSH010000001.1,True,False,,
184,83,Dendrocalamus sinicus,Dendrocalamus_sinicus.fa,Dendrocalamus_sinicus_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid66393.gff,,annotation_file,lcl|Dsi01A,False,False,,
186,84,Dichanthelium oligosanthes,GCA_001633215.2_ASM163321v2_genomic.fna.gz,GCA_001633215.2_ASM163321v2_genomic.gff.gz,,annotation_file,KV766696.1,False,True,,
187,85,Digitaria exilis,GCA_902859565.1_Fonio_CM05836_genomic.fna.gz,Dexi_CM05836-gene.gff3.gz,,annotation_file,LR994622.1,True,False,,
189,86,Digitaria milanjiana,GWHGGEZ00000000.1.genome.fasta.gz,GWHGGEZ00000000.1.gff.gz,,annotation_file,GWHGGEZ00000001.1,False,True,,
190,87,Digitaria radicosa,GCA_041430275.1_ASM4143027v1_genomic.fna.gz,Digitaria_radicosa_v1.gff3,,annotation_file,CM084516.1,False,False,,
192,88,Digitaria sanguinalis,GWHGGEX00000000.1.genome.fasta.gz,GWHGGEX00000000.1.gff.gz,,annotation_file,GWHGGEX00000001.1,False,True,,
193,89,Echinochloa colona,GWHBDNQ00000000.genome.fasta.gz,GWHBDNQ00000000.gff.gz,,annotation_file,GWHBDNQ00000001,False,True,,
195,90,Echinochloa crus-galli,GWHBDNR00000000.genome.fasta.gz,GWHBDNR00000000.gff.gz,,annotation_file,GWHBDNR00000001,False,True,,
196,91,Echinochloa haploclada,EH.fasta.gz,EH.gff3.gz,,annotation_file,eh_chr1,False,True,,
198,92,Echinochloa oryzicola,GWHBDNS00000000.genome.fasta.gz,GWHBDNS00000000.gff.gz,,annotation_file,GWHBDNS00000001,False,True,,
200,94,Eleusine coracana,GCA_032690845.1_Eleusine_coracana_v1.0_genomic.fna.gz,GCA_032690845.1_Eleusine_coracana_v1.0_genomic.gff.gz,,annotation_file,CM064417.1,False,True,,
202,95,Eleusine indica,GCA_003369855.1_ASM336985v1_genomic.fna.gz,,Eleusine_indica\Eleusine_indica_GCA_040549725.1_ASM4054972v1_genomic.gtf,annotation_file_0813,QEPD01000001.1,True,False,,
204,97,Elymus sibiricus,E.sibiricus.fa.gz,E.sibiricus.gff3,,annotation_file,chr1H,False,True,,
205,98,Eragrostis curvula,GCA_007726485.1_CERZOS_EC1.0_genomic.fna.gz,GCA_007726485.1_CERZOS_EC1.0_genomic.gff.gz,,annotation_file,CM017439.1,False,True,,
206,99,Eragrostis nindensis,GCA_012490785.1_MSU_Enin_2.1_genomic.fna.gz,Eragrostis_nindensis_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid54689.gff,,annotation_file,JAAXCT010000001.1,False,False,,
207,100,Eragrostis tef,Eragrostis_tef_tef.fa,Eragrostis_tef_tef_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid50954.gff,,annotation_file,lcl|1A,False,False,,
210,103,Eriochloa villosa,GWHITIV00000000.1.genome.fasta.gz,GWHITIV00000000.1.gff.gz,,annotation_file,GWHITIV00000001.1,False,True,,
212,105,Festuca glaucescens,GCA_052817425.1_IPG_FesGla_1_genomic.fna.gz,GCA_052817425.1_IPG_FesGla_1_genomic.gff.gz,,annotation_file,JBQVRU010000001.1,False,True,,
